epoch,accuracy,loss,val_accuracy,val_loss
0,0.46266666054725647,1.2044497728347778,0.5109760761260986,1.1393928527832031
1,0.0,0.0,0.5109760761260986,1.1393928527832031
2,0.4976666569709778,1.1478869915008545,0.5380243062973022,1.0941450595855713
3,0.0,0.0,0.5380243062973022,1.0941450595855713
4,0.524222195148468,1.102387547492981,0.5562524795532227,1.055521011352539
5,0.0,0.0,0.5562524795532227,1.055521011352539
6,0.5421666502952576,1.0695202350616455,0.5560564398765564,1.0385422706604004
7,0.0,0.0,0.5560564398765564,1.0385422706604004
8,0.5583333373069763,1.042901635169983,0.5595844984054565,1.0428745746612549
9,0.0,0.0,0.5595844984054565,1.0428745746612549
10,0.5683333277702332,1.017115831375122,0.5764406323432922,1.0108383893966675
11,0.0,0.0,0.5764406323432922,1.0108383893966675
12,0.5817221999168396,1.0003888607025146,0.5909447073936462,0.9948464632034302
13,0.0,0.0,0.5909447073936462,0.9948464632034302
14,0.5893333554267883,0.9802479147911072,0.589964747428894,0.9887504577636719
15,0.0,0.0,0.589964747428894,0.9887504577636719
16,0.6011666655540466,0.9631565809249878,0.6036848425865173,0.9567416310310364
17,0.0,0.0,0.6036848425865173,0.9567416310310364
18,0.6072777509689331,0.9464079737663269,0.5944727659225464,0.9741355180740356
19,0.0,0.0,0.5944727659225464,0.9741355180740356
